Rank	Mantissa	Log	Amount	Code	Type	Amount	FirstTwo	First	Second		Diffs * 1000	First-Two	
			-0.04299			0.01136	$11.00	$1.00	$1.00		2417	$24	
			-0.04296			0.00539	$53.00	$5.00	$3.00		3367	$33	
			-0.04293			-0.00536	$53.00	$5.00	$3.00		347	$34	
			-0.04293			0.03371	$33.00	$3.00	$3.00		823	$82	
			-0.04292			-0.00565	$56.00	$5.00	$6.00		6045	$60	
			-0.04286			-0.01093	$10.00	$1.00	$0.00		3823	$38	
			-0.04282			0.00575	$57.00	$5.00	$7.00		7343	$73	
			-0.04275			0.01099	$10.00	$1.00	$0.00		14260	$14	
			-0.042602883			0.01087	$10.00	$1.00	$0.00		380	$38	
			-0.04260			0.02667	$26.00	$2.00	$6.00		9999	$99	
			-0.04250			0.02639	$26.00	$2.00	$6.00		4000	$40	
			-0.04246			-0.02041	$20.00	$2.00	$0.00		3485	$34	
			-0.04242			-0.00542	$54.00	$5.00	$4.00		0	$0	
			-0.04242			0.00545	$54.00	$5.00	$4.00		0	$0	
			-0.04242			-0.02625	$26.00	$2.00	$6.00		2793	$27	
			-0.04240			-0.01583	$15.00	$1.00	$5.00		5688	$56	
			-0.04234			-0.01652	$16.00	$1.00	$6.00		2426	$24	
			-0.04232			-0.02210	$22.00	$2.00	$2.00		6165	$61	
			-0.04225			0.00588	$58.00	$5.00	$8.00		6063	$60	
			-0.042192893			0.06157	$61.00	$6.00	$1.00		85	$85	
			-0.04219			-0.02625	$26.00	$2.00	$6.00		2337	$23	
			-0.04217			0.00522	$52.00	$5.00	$2.00		6341	$63	
			-0.04211			0.03244	$32.00	$3.00	$2.00		1224	$12	
			-0.04209			-0.00503	$50.00	$5.00	$0.00		7622	$76	
			-0.04202			0.00000	$0.00	$0.00	#VALUE!		1681	$16	
			-0.04200			0.01558	$15.00	$1.00	$5.00		1980	$19	
			-0.04198			-0.00498	$49.00	$4.00	$9.00		3330	$33	
			-0.04195			-0.00542	$54.00	$5.00	$4.00		1982	$19	
			-0.04193			0.00000	$0.00	$0.00	#VALUE!		1092	$10	
			-0.04192			0.00545	$54.00	$5.00	$4.00		0	$0	
			-0.04192			-0.00542	$54.00	$5.00	$4.00		6595	$65	
			-0.04185			-0.00503	$50.00	$5.00	$0.00		2697	$26	
			-0.04182			0.00505	$50.00	$5.00	$0.00		3396	$33	
			-0.04179			0.04734	$47.00	$4.00	$7.00		1277	$12	
			-0.04178			0.00480	$48.00	$4.00	$8.00		1998	$19	
			-0.04175654			0.00518	$51.00	$5.00	$1.00		1170	$11	
			-0.04174			0.01980	$19.00	$1.00	$9.00		2767	$27	
			-0.04172			0.02408	$24.00	$2.00	$4.00		5051	$50	
			-0.04167			-0.01403	$14.00	$1.00	$4.00		5716	$57	
			-0.04161			-0.01462	$14.00	$1.00	$4.00		4815	$48	
			-0.04156			-0.02420	$24.00	$2.00	$4.00		1696	$16	
			-0.04154			-0.01520	$15.00	$1.00	$5.00		7049	$70	
			-0.041473911			0.00000	$0.00	$0.00	#VALUE!		2237	$22	
			-0.041451542			0.02559	$25.00	$2.00	$5.00		487	$48	
			-0.04145			0.00475	$47.00	$4.00	$7.00		12476	$12	
			-0.041321916			-0.02444	$24.00	$2.00	$4.00		2398	$23	
			-0.04130			-0.00525	$52.00	$5.00	$2.00		5214	$52	
			-0.04125			0.01015	$10.00	$1.00	$0.00		2160	$21	
			-0.041224189			-0.00483	$48.00	$4.00	$8.00		4772	$47	
			-0.04118			0.00000	$0.00	$0.00	#VALUE!		8058	$80	
			-0.04110			0.05535	$55.00	$5.00	$5.00		0	$0	
			-0.04110			-0.00459	$45.00	$4.00	$5.00		3729	$37	
			-0.041058601			0.03346	$33.00	$3.00	$3.00		5020	$50	
			-0.04101			-0.01377	$13.00	$1.00	$3.00		5836	$58	
			-0.04095			0.06604	$66.00	$6.00	$6.00		314	$31	
			-0.04095			-0.02230	$22.00	$2.00	$2.00		4142	$41	
			-0.04091			-0.03150	$31.00	$3.00	$1.00		3123	$31	
			-0.04087			0.04187	$41.00	$4.00	$1.00		687	$68	
